Source Addres;Protocol;Data Length
10.0.2.15;TCP;114;
10.0.2.15;TCP;46;
216.239.32.116;TCP;6;
216.239.32.116;TCP;6;
216.239.32.116;TCP;46;
216.239.32.116;TCP;76;
10.0.2.15;TCP;0;
10.0.2.15;TCP;42;
216.239.32.116;TCP;6;
10.0.2.15;TCP;83;
10.0.2.15;TCP;814;
216.239.32.116;TCP;6;
216.239.32.116;TCP;6;
216.239.32.116;TCP;38;
216.239.32.116;TCP;46;
10.0.2.15;TCP;0;
10.0.2.15;TCP;46;
216.239.32.116;TCP;6;
10.0.2.15;UDP;45;
192.168.1.1;UDP;61;
10.0.2.15;TCP;20;
216.239.32.116;TCP;75;
216.239.32.116;TCP;38;
216.239.32.116;TCP;46;
10.0.2.15;TCP;0;
10.0.2.15;TCP;46;
10.0.2.15;TCP;42;
216.239.32.116;TCP;6;
216.239.32.116;TCP;6;
172.217.3.74;TCP;6;
10.0.2.15;TCP;0;
10.0.2.15;TCP;517;
172.217.3.74;TCP;6;
172.217.3.74;TCP;1430;
10.0.2.15;TCP;0;
172.217.3.74;TCP;1430;
10.0.2.15;TCP;0;
172.217.3.74;TCP;971;
10.0.2.15;TCP;0;
10.0.2.15;TCP;93;
172.217.3.74;TCP;6;
10.0.2.15;TCP;93;
172.217.3.74;TCP;6;
10.0.2.15;TCP;903;
172.217.3.74;TCP;6;
172.217.3.74;TCP;284;
172.217.3.74;TCP;69;
10.0.2.15;TCP;0;
10.0.2.15;TCP;38;
172.217.3.74;TCP;6;
172.217.3.74;TCP;38;
172.217.3.74;TCP;250;
10.0.2.15;TCP;0;
172.217.3.74;TCP;1430;
10.0.2.15;TCP;0;
172.217.3.74;TCP;448;
172.217.3.74;TCP;46;
10.0.2.15;TCP;0;
10.0.2.15;TCP;46;
172.217.3.74;TCP;6;
